"","target_word","comparison","mean_difference","bootstrap_se","bootstrap_me","lb","ub","significant","pvalue"
"132","4117","ch",-0.0744927653402556,0.0358094165045186,0.0762040581313859,-0.150696823471641,0.0017112927911303,0,0.0375020280405352
"133","413212","ac",NA,0,0,NA,NA,NA,NA
"134","413212","ah",NA,0,0,NA,NA,NA,NA
"135","413212","ch",NA,0,0,NA,NA,NA,NA
"136","41717","ac",NA,0,0,NA,NA,NA,NA
"137","41717","ah",NA,0,0,NA,NA,NA,NA
"138","41717","ch",NA,0,0,NA,NA,NA,NA
"139","41719","ac",NA,0,0,NA,NA,NA,NA
"140","41719","ah",NA,0,0,NA,NA,NA,NA
"141","41719","ch",NA,0,0,NA,NA,NA,NA
"142","41914","ac",NA,0,0,NA,NA,NA,NA
"143","41914","ah",NA,0,0,NA,NA,NA,NA
"144","41914","ch",NA,0,0,NA,NA,NA,NA
"145","423","ac",0.0861896252026781,0.0295739210190755,0.0629346416808068,0.0232549835218714,0.149124266883485,1,0.0035639651974384
"146","423","ah",0.0493437881348655,0.0347181395846231,0.0738817714828263,-0.0245379833479608,0.123225559617692,0,0.155238801355399
"147","423","ch",-0.0368458370678127,0.0316475212343991,0.0673473567366311,-0.104193193804444,0.0305015196688184,0,0.244320018483773
"148","46213","ac",NA,0,0,NA,NA,NA,NA
"149","46213","ah",NA,0,0,NA,NA,NA,NA
"150","46213","ch",NA,0,0,NA,NA,NA,NA
"151","48218","ac",NA,0,0,NA,NA,NA,NA
"152","48218","ah",NA,0,0,NA,NA,NA,NA
"153","48218","ch",NA,0,0,NA,NA,NA,NA
"154","5","ac",0.0331123543903232,0.0306442450249235,0.0652123395804853,-0.0320999851901622,0.0983246939708085,0,0.279901466882341
"155","5","ah",0.0790316963102669,0.0400642394413636,0.0852585138044398,-0.00622681749417293,0.164290210114707,0,0.0485383708962355
"156","5","ch",0.0459193419199437,0.0238654413516069,0.0507867387300083,-0.00486739681006457,0.096706080649952,0,0.0543428576541882
"157","514215","ac",NA,0,0,NA,NA,NA,NA
"158","514215","ah",NA,0,0,NA,NA,NA,NA
"159","514215","ch",NA,0,0,NA,NA,NA,NA
"160","51422","ac",NA,0,0,NA,NA,NA,NA
"161","51422","ah",NA,0,0,NA,NA,NA,NA
"162","51422","ch",NA,0,0,NA,NA,NA,NA
"163","522219","ac",NA,0,0,NA,NA,NA,NA
"164","522219","ah",NA,0,0,NA,NA,NA,NA
"165","522219","ch",NA,0,0,NA,NA,NA,NA
"166","52412","ac",NA,0,0,NA,NA,NA,NA
"167","52412","ah",NA,0,0,NA,NA,NA,NA
"168","52412","ch",NA,0,0,NA,NA,NA,NA
"169","526216","ac",NA,0,0,NA,NA,NA,NA
"170","526216","ah",NA,0,0,NA,NA,NA,NA
"171","526216","ch",NA,0,0,NA,NA,NA,NA
"172","526218","ac",NA,0,0,NA,NA,NA,NA
"173","526218","ah",NA,0,0,NA,NA,NA,NA
"174","526218","ch",NA,0,0,NA,NA,NA,NA
"175","528213","ac",NA,0,0,NA,NA,NA,NA
"176","528213","ah",NA,0,0,NA,NA,NA,NA
"177","528213","ch",NA,0,0,NA,NA,NA,NA
"178","5315","ac",0.0413393355964217,0.0228685366697173,0.0486652804727764,-0.0073259448763547,0.0900046160691982,0,0.0706540090872652
"179","5315","ah",-0.0634731213387568,0.0332681658730381,0.0707961618361942,-0.134269283174951,0.00732304049743741,0,0.0564010816600737
"180","5315","ch",-0.104812456935178,0.0334603408145994,0.0712051188047135,-0.176017575739892,-0.033607338130465,1,0.00173360793054722
"181","54215","ac",NA,0.00888369596922093,0.018904906869249,NA,NA,NA,NA
"182","54215","ah",NA,0.0256529350559286,0.0545906061886257,NA,NA,NA,NA
"183","54215","ch",NA,0.0319283426051183,0.0679449573162475,NA,NA,NA,NA
"184","5712","ac",0.0191885392181575,0.0294490286560792,0.0626688650829464,-0.0434803258647888,0.0818574043011039,0,0.514669060946895
"185","5712","ah",-0.0492581705213524,0.0386677672057048,0.0822867577186746,-0.131544928240027,0.0330285871973221,0,0.202705257772814
"186","5712","ch",-0.06844670973951,0.0328211153486348,0.0698448180982979,-0.138291527837808,0.00139810835878794,0,0.037028707860058
"187","58215","ac",NA,0,0,NA,NA,NA,NA
"188","58215","ah",NA,0,0,NA,NA,NA,NA
"189","58215","ch",NA,0,0,NA,NA,NA,NA
"190","592","ac",0.0559205565368757,0.0311757536110823,0.0663434138941891,-0.0104228573573134,0.122263970431065,0,0.0728579545582353
"191","592","ah",0.052426805079449,0.0384927718199891,0.0819143596220978,-0.0294875545426488,0.134341164701547,0,0.173200755810295
"192","592","ch",-0.0034937514574267,0.0409128744760633,0.087064447545595,-0.0905581990030217,0.0835706960881683,0,0.931947435267969
"193","615219","ac",NA,0,0,NA,NA,NA,NA
"194","615219","ah",NA,0,0,NA,NA,NA,NA
"195","615219","ch",NA,0,0,NA,NA,NA,NA
"196","6213","ac",0.0995850798659376,0.0300718338008747,0.0639942226031543,0.0355908572627833,0.163579302469092,1,0.000927729544536682
"197","6213","ah",0.0117120258044451,0.0525612512680785,0.111852720263834,-0.100140694459389,0.123564746068279,0,0.82367074756717
"198","6213","ch",-0.0878730540614924,0.0473230425132729,0.100705575087504,-0.188578629148996,0.0128325210260114,0,0.0633287010764176
"199","62416","ac",NA,0,0,NA,NA,NA,NA
"200","62416","ah",NA,0,0,NA,NA,NA,NA
"201","62416","ch",NA,0,0,NA,NA,NA,NA
"202","62519","ac",NA,0,0,NA,NA,NA,NA
"203","62519","ah",NA,0,0,NA,NA,NA,NA
"204","62519","ch",NA,0,0,NA,NA,NA,NA
"205","626213","ac",NA,0,0,NA,NA,NA,NA
"206","626213","ah",NA,0,0,NA,NA,NA,NA
"207","626213","ch",NA,0,0,NA,NA,NA,NA
"208","627217","ac",NA,0,0,NA,NA,NA,NA
"209","627217","ah",NA,0,0,NA,NA,NA,NA
"210","627217","ch",NA,0,0,NA,NA,NA,NA
"211","636","ac",0.0520357075089123,0.0302904153385133,0.0644593740026069,-0.0124236664936946,0.116495081511519,0,0.0858160433331383
"212","636","ah",0.000318195906584151,0.0402586390017128,0.0856722048623687,-0.0853540089557845,0.0859904007689528,0,0.993693752095301
"213","636","ch",-0.0517175116023282,0.0377324248202884,0.0802963068130578,-0.132013818415386,0.0285787952107297,0,0.170487696151793
"214","648","ac",0.0412686326482799,0.0329585786148039,0.0701373461467445,-0.0288687134984646,0.111405978795024,0,0.210520202829922
