"","target_word","base_word","mean","bootstrap_se","bootstrap_me","lb","ub","significant","pvalue"
"255","81522","hispanic",NA,0,0,NA,NA,NA,NA
"256","82319","african_american",NA,0.0014486601408571,0.00283932170191864,NA,NA,NA,NA
"257","82319","caucasian",NA,0.00724980909796432,0.0142093647268009,NA,NA,NA,NA
"258","82319","hispanic",NA,0.00776315592229366,0.0152155060140644,NA,NA,NA,NA
"259","823213","african_american",NA,0,0,NA,NA,NA,NA
"260","823213","caucasian",NA,0,0,NA,NA,NA,NA
"261","823213","hispanic",NA,0,0,NA,NA,NA,NA
"262","82419","african_american",NA,0,0,NA,NA,NA,NA
"263","82419","caucasian",NA,0,0,NA,NA,NA,NA
"264","82419","hispanic",NA,0,0,NA,NA,NA,NA
"265","8292","african_american",0.117717386037111,0.0556776188219197,0.109126127635912,0.00859125840119929,0.226843513673023,1,0.0344924172124028
"266","8292","caucasian",0.0447946222499013,0.0350135917823651,0.0686253788628232,-0.0238307566129219,0.113420001112725,0,0.200773997512663
"267","8292","hispanic",0.0883858450688422,0.0428327503637365,0.0839506480717185,0.00443519699712368,0.172336493140561,1,0.0390641181145277
"268","848","african_american",0.00722393233008916,0.0304223543795589,0.0596267189088498,-0.0524027865787607,0.066850651238939,0,0.812304025337279
"269","848","caucasian",0.0437397284666076,0.0263534201603049,0.0516517543836494,-0.00791202591704179,0.0953914828502571,0,0.096967510361254
"270","848","hispanic",0.0284908962785266,0.0276867234467489,0.0542649808055484,-0.0257740845270218,0.0827558770840751,0,0.303458326557919
"271","885","african_american",0.093306202813983,0.0340050275462621,0.0666486292839662,0.0266575735300167,0.159954832097949,1,0.00607150755400987
"272","885","caucasian",0.10085430201143,0.0249255959913385,0.0488532704362194,0.0520010315752109,0.14970757244765,1,5.20525925398196e-05
"273","885","hispanic",0.0437741781817749,0.0341988054632604,0.0670284270222821,-0.0232542488405071,0.110802605204057,0,0.200548147147333
"274","916213","african_american",NA,0,0,NA,NA,NA,NA
"275","916213","caucasian",NA,0,0,NA,NA,NA,NA
"276","916213","hispanic",NA,0,0,NA,NA,NA,NA
"277","916219","african_american",NA,0,0,NA,NA,NA,NA
"278","916219","caucasian",NA,0,0,NA,NA,NA,NA
"279","916219","hispanic",NA,0,0,NA,NA,NA,NA
"280","919216","african_american",NA,0,0,NA,NA,NA,NA
"281","919216","caucasian",NA,0,0,NA,NA,NA,NA
"282","919216","hispanic",NA,0,0,NA,NA,NA,NA
"283","92714","african_american",NA,0,0,NA,NA,NA,NA
"284","92714","caucasian",NA,0,0,NA,NA,NA,NA
"285","92714","hispanic",NA,0,0,NA,NA,NA,NA
"286","937","african_american",0.0890259005129337,0.0324229134648659,0.0635477426649959,0.0254781578479378,0.15257364317793,1,0.00603688574154848
"287","937","caucasian",0.0864658834412694,0.0264860056180773,0.0519116171057571,0.0345542663355123,0.138377500547027,1,0.00109623589198793
"288","937","hispanic",0.0964174207299948,0.0284879159997509,0.0558352893541141,0.0405821313758807,0.152252710084109,1,0.000713073895602712
"289","9414","african_american",-0.0160833296831697,0.0348872474384063,0.0683777484990136,-0.0844610781821833,0.0522944188158439,0,0.644792258521314
"290","9414","caucasian",0.00935544151579961,0.0352389925872813,0.0690671563225454,-0.0597117148067457,0.078422597838345,0,0.790635479652298
"291","9414","hispanic",0.0774634484172566,0.0341663189892849,0.0669647547033054,0.0104986937139512,0.144428203120562,1,0.023375205141283
"292","9418","african_american",0.06864533679327,0.0420425388822821,0.0824018620278978,-0.0137565252346279,0.151047198821168,0,0.102519677952783
"293","9418","caucasian",-0.00886406247518607,0.0363509152823581,0.0712464847584886,-0.0801105472336747,0.0623824222833025,0,0.807349300234982
"294","9418","hispanic",0.074304140987806,0.029443618635879,0.0577084321008552,0.0165957088869509,0.132012573088661,1,0.0116157492818987
"295","9715","african_american",0.0101052146055736,0.041814069797219,0.0819540708495932,-0.0718488562440196,0.0920592854551668,0,0.809035722233432
"296","9715","caucasian",0.0230768984154565,0.0265385432782523,0.0520145890275319,-0.0289376906120754,0.0750914874429885,0,0.384540025240028
"297","9715","hispanic",0.0949313076213002,0.0352954158236344,0.0691777438336884,0.0257535637876118,0.164109051454989,1,0.00715331115851048
"298","99","african_american",0.14879000261426,0.0261217488832017,0.0511976870242748,0.0975923155899849,0.199987689638535,1,1.22636538701926e-08
"299","99","caucasian",0.137997418269515,0.0145466622886107,0.0285109341809439,0.109486484088571,0.166508352450459,1,0
"300","99","hispanic",0.138545018434525,0.0298504265131894,0.0585057608890108,0.0800392575455137,0.197050779323535,1,3.46210901236432e-06
"301","apr","african_american",NA,0,0,NA,NA,NA,NA
"302","apr","caucasian",NA,0,0,NA,NA,NA,NA
"303","apr","hispanic",NA,0,0,NA,NA,NA,NA
"304","april","african_american",NA,0,0,NA,NA,NA,NA
"305","april","caucasian",NA,0,0,NA,NA,NA,NA
"306","april","hispanic",NA,0,0,NA,NA,NA,NA
"307","aug","african_american",NA,0,0,NA,NA,NA,NA
"308","aug","caucasian",NA,0,0,NA,NA,NA,NA
"309","aug","hispanic",NA,0,0,NA,NA,NA,NA
"310","august","african_american",NA,0,0,NA,NA,NA,NA
"311","august","caucasian",NA,0,0,NA,NA,NA,NA
"312","august","hispanic",NA,0,0,NA,NA,NA,NA
