"","target_word","comparison","mean_difference","bootstrap_se","bootstrap_me","lb","ub","significant"
"62","defensive","ah",0.0240910339169204,0.0490874457476469,0.104460304981594,-0.0803692710646735,0.128551338898514,0
"63","defensive","ch",0.0712488822638988,0.0457832635023473,0.0974288557016055,-0.0261799734377066,0.168677737965504,0
"64","defensiveness","ac",-0.0663366972657968,0.0298746951319334,0.0635747025982403,-0.129911399864037,-0.00276199466755653,1
"65","defensiveness","ah",0.0236952090097475,0.023017650977452,0.0489826024647001,-0.0252873934549526,0.0726778114744476,0
"66","defensiveness","ch",0.0900319062755443,0.0254268213318043,0.0541094259556193,0.035922480319925,0.144141332231164,1
"67","non_adherence","ac",0.0146592730772682,0.0335941334335449,0.0714898355498297,-0.0568305624725615,0.0861491086270978,0
"68","non_adherence","ah",-0.0512410364695825,0.0455997820755757,0.0970383989258028,-0.148279435395385,0.0457973624562203,0
"69","non_adherence","ch",-0.0659003095468506,0.048937702776334,0.104141645165139,-0.17004195471199,0.0382413356182883,0
"70","non_adherent","ac",0.0272485726163723,0.0372629107408204,0.0792971596138633,-0.0520485869974911,0.106545732230236,0
"71","non_adherent","ah",-0.0210926987696439,0.0376418992592238,0.0801036643242625,-0.101196363093906,0.0590109655546186,0
"72","non_adherent","ch",-0.0483412713860162,0.0366198434335815,0.0779286832954334,-0.12626995468145,0.0295874119094172,0
"73","non_compliance","ac",0.0723282128514256,0.0354466478257972,0.0754320699735213,-0.00310385712209563,0.147760282824947,0
"74","non_compliance","ah",0.125359212234616,0.0398988882414259,0.0849066389714457,0.0404525732631706,0.210265851206062,1
"75","non_compliance","ch",0.0530309993831906,0.038745570505722,0.08245232666048,-0.0294213272772894,0.135483326043671,0
"76","non_compliant","ac",0.0229846476442617,0.0364574568207908,0.0775831172379887,-0.054598469593727,0.10056776488225,0
"77","non_compliant","ah",0.127267106017098,0.0467161572380389,0.0994140957698451,0.0278530102472528,0.226681201786943,1
"78","non_compliant","ch",0.104282458372836,0.0421350531712486,0.0896652990932065,0.0146171592796296,0.193947757466043,1
"79","nonadherence","ac",-0.0273278131149709,0.0391034017899253,0.083213807819471,-0.110541620934442,0.0558859947045001,0
"80","nonadherence","ah",-0.0247570130042732,0.0479846120956045,0.102113425084266,-0.126870438088539,0.077356412079993,0
